row_id,L,P,tipo,linhas_executaveis,linhas_executadas,linhas_nao_executadas,binary_tempo_ns,binary_memoria_kb,binary_iteracoes,interpolation_tempo_ns,interpolation_memoria_kb,interpolation_iteracoes,binary_interpolation_tempo_ns,binary_interpolation_memoria_kb,binary_interpolation_iteracoes,interpolation_once_binary_tempo_ns,interpolation_once_binary_memoria_kb,interpolation_once_binary_iteracoes
sim_008_L_16384_P_50_biased,16384,50,biased,16384,8192,8192,55.867,15304.0,12.501,84.052,15304.0,5.471,64.911,15304.0,3.808,53.619,15304.0,11.091
sim_008_L_16384_P_50_cluster,16384,50,cluster,16384,8192,8192,55.642,15272.0,12.501,96.344,15272.0,6.481,88.173,15272.0,4.943,61.252,15272.0,12.252
sim_008_L_16384_P_50_fault,16384,50,fault,16384,8192,8192,55.354,15304.0,12.501,51.35,15304.0,3.697,57.801,15304.0,3.421,60.559,15304.0,11.58
sim_008_L_16384_P_50_uniform,16384,50,uniform,16384,8192,8192,55.102,15272.0,12.501,43.545,15272.0,2.954,48.596,15272.0,2.854,58.081,15272.0,11.595
sim_008_L_16384_P_60_biased,16384,60,biased,16384,9830,6554,56.224,15156.0,12.729,70.232,15156.0,4.742,65.04,15156.0,3.795,54.067,15156.0,11.368
sim_008_L_16384_P_60_cluster,16384,60,cluster,16384,9830,6554,58.029,15416.0,12.687,94.803,15416.0,6.275,86.069,15416.0,4.929,62.067,15416.0,12.482
sim_008_L_16384_P_60_fault,16384,60,fault,16384,9830,6554,56.253,15424.0,12.73,47.417,15424.0,3.403,50.885,15424.0,3.247,59.365,15424.0,12.724
sim_008_L_16384_P_60_uniform,16384,60,uniform,16384,9830,6554,58.913,15276.0,12.733,43.053,15276.0,3.141,49.409,15276.0,3.087,59.23,15276.0,12.167
sim_008_L_16384_P_70_biased,16384,70,biased,16384,11468,4916,57.127,15168.0,12.866,59.542,15168.0,4.283,60.697,15168.0,3.673,55.353,15168.0,11.732
sim_008_L_16384_P_70_cluster,16384,70,cluster,16384,11468,4916,57.133,15272.0,12.855,87.72,15272.0,5.857,85.124,15272.0,4.941,63.144,15272.0,12.969
sim_008_L_16384_P_70_fault,16384,70,fault,16384,11468,4916,56.675,15276.0,12.873,50.388,15276.0,3.621,55.203,15276.0,3.515,62.011,15276.0,12.407
sim_008_L_16384_P_70_uniform,16384,70,uniform,16384,11468,4916,56.186,15292.0,12.871,38.064,15292.0,2.773,40.761,15292.0,2.732,58.551,15292.0,12.449
sim_008_L_16384_P_80_biased,16384,80,biased,16384,13107,3277,58.718,15492.0,12.951,50.079,15492.0,3.661,56.981,15492.0,3.484,55.563,15492.0,11.504
sim_008_L_16384_P_80_cluster,16384,80,cluster,16384,13107,3277,57.404,15360.0,12.963,64.854,15360.0,4.624,66.588,15360.0,3.958,58.886,15360.0,11.985
sim_008_L_16384_P_80_fault,16384,80,fault,16384,13107,3277,58.787,15376.0,12.947,39.998,15376.0,2.947,45.028,15376.0,2.833,63.843,15376.0,12.607
sim_008_L_16384_P_80_uniform,16384,80,uniform,16384,13107,3277,58.214,15416.0,12.952,43.323,15416.0,3.154,46.803,15416.0,3.106,64.311,15416.0,12.524
